"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
20.4;46.9;-1.46;1.27;7.08;12.16;16.94;20.21;23.5;21.94;15.84;8.99;8.9;-0.76
20.5;46.9;-1.33;1.48;7.15;12.25;17.01;20.34;23.56;22;15.86;8.99;8.95;-0.62
20.6;46.9;-1.31;1.51;7.13;12.25;17;20.34;23.58;22.05;15.91;9;8.95;-0.62
20.7;46.9;-1.37;1.6;7.14;12.18;16.99;20.28;23.55;22.09;15.94;9;8.97;-0.64
20.8;46.9;-1.35;1.7;7.17;12.17;16.96;20.27;23.55;22.1;15.94;8.99;8.97;-0.6
20.9;46.9;-1.31;1.82;7.14;12.16;16.95;20.27;23.49;22.08;15.93;8.98;8.98;-0.55
21;46.9;-1.35;1.76;6.98;12.08;16.86;20.16;23.38;22.04;15.86;8.93;8.94;-0.64
19.5;46.8;-1.61;1.24;7.09;12.03;16.67;19.97;23.28;21.39;15.39;8.87;8.66;-0.78
19.6;46.8;-1.73;1.05;6.93;11.83;16.45;19.74;23.05;21.14;15.16;8.68;8.47;-1.04
19.7;46.8;-1.67;1.15;7;11.93;16.55;19.86;23.18;21.3;15.34;8.8;8.61;-0.95
19.8;46.8;-1.7;1.17;7.01;11.91;16.59;19.87;23.15;21.34;15.37;8.77;8.6;-0.9
19.9;46.8;-1.63;1.19;7.05;12;16.72;20.05;23.3;21.6;15.56;8.84;8.66;-0.87
20;46.8;-1.57;1.28;7.07;12.08;16.82;20.15;23.41;21.74;15.67;8.94;8.78;-0.76
20.1;46.8;-1.41;1.27;7.15;12.3;17.05;20.29;23.55;22.01;15.95;9.11;9.01;-0.66
20.2;46.8;-1.5;1.26;7.1;12.2;16.91;20.21;23.47;21.87;15.83;9.01;8.91;-0.73
20.3;46.8;-1.42;1.33;7.12;12.25;16.96;20.28;23.52;21.98;15.94;9.05;9.03;-0.63
20.4;46.8;-1.37;1.45;7.14;12.26;16.98;20.31;23.55;22.04;15.98;9.07;9.04;-0.58
20.5;46.8;-1.35;1.54;7.13;12.26;17;20.33;23.54;22.04;15.94;9.01;8.98;-0.58
20.6;46.8;-1.35;1.62;7.17;12.25;17;20.34;23.56;22.1;15.96;9.01;9.01;-0.56
20.7;46.8;-1.36;1.69;7.15;12.19;16.95;20.29;23.52;22.09;15.95;8.97;8.98;-0.59
20.8;46.8;-1.31;1.79;7.16;12.18;16.94;20.29;23.51;22.12;15.97;8.98;8.99;-0.57
20.9;46.8;-1.32;1.86;7.11;12.15;16.88;20.23;23.43;22.13;15.97;8.97;9.05;-0.52
21;46.8;-1.24;1.99;7.14;12.19;16.9;20.26;23.45;22.17;16.02;9.02;9.07;-0.46
19.5;46.7;-1.64;1.17;7.01;11.95;16.56;19.83;23.12;21.21;15.25;8.84;8.66;-0.82
19.6;46.7;-1.7;1.14;6.98;11.83;16.5;19.74;22.97;21.16;15.18;8.69;8.57;-0.88
19.7;46.7;-1.66;1.16;6.98;11.88;16.56;19.82;23.04;21.28;15.29;8.72;8.59;-0.88
19.8;46.7;-1.63;1.21;7.02;11.97;16.67;19.94;23.15;21.44;15.45;8.8;8.67;-0.81
19.9;46.7;-1.52;1.34;7.11;12.12;16.86;20.15;23.36;21.72;15.67;8.95;8.82;-0.66
20;46.7;-1.52;1.27;7.07;12.12;16.85;20.16;23.39;21.76;15.72;8.95;8.82;-0.69
20.1;46.7;-1.46;1.32;7.07;12.16;16.91;20.21;23.45;21.85;15.81;9.01;8.89;-0.61
20.2;46.7;-1.35;1.38;7.1;12.33;17.02;20.32;23.54;21.95;15.97;9.13;9.07;-0.51
20.3;46.7;-1.35;1.42;7.13;12.29;16.99;20.31;23.52;22.01;16.01;9.1;9.08;-0.52
20.4;46.7;-1.32;1.53;7.12;12.27;16.98;20.3;23.51;22.03;16.01;9.09;9.08;-0.51
20.5;46.7;-1.32;1.62;7.13;12.26;16.97;20.29;23.52;22.06;16.02;9.08;9.09;-0.52
20.6;46.7;-1.27;1.73;7.19;12.28;17.04;20.35;23.55;22.13;16.02;9.06;9.08;-0.49
20.7;46.7;-1.28;1.83;7.18;12.26;17.02;20.33;23.54;22.15;16.03;9.04;9.07;-0.49
20.8;46.7;-1.28;1.89;7.17;12.21;16.97;20.29;23.5;22.15;16.04;8.98;9.04;-0.54
20.9;46.7;-1.3;1.9;7.08;12.11;16.83;20.18;23.39;22.08;15.96;8.92;8.99;-0.54
21;46.7;-1.25;2.05;7.07;12.13;16.83;20.18;23.34;22.13;15.98;8.96;9.06;-0.44
19.5;46.6;-1.65;1.19;7.01;11.91;16.58;19.83;23.03;21.24;15.26;8.74;8.65;-0.73
19.6;46.6;-1.68;1.19;6.89;11.82;16.45;19.66;22.88;21.08;15.11;8.66;8.55;-0.81
19.7;46.6;-1.57;1.26;7.03;11.99;16.69;19.95;23.13;21.42;15.44;8.83;8.7;-0.7
19.8;46.6;-1.62;1.23;6.96;11.94;16.62;19.87;23.07;21.38;15.39;8.77;8.65;-0.77
19.9;46.6;-1.62;1.26;6.98;11.98;16.71;19.96;23.18;21.53;15.54;8.87;8.73;-0.74
20;46.6;-1.33;1.41;7.13;12.25;17.01;20.28;23.46;21.89;15.89;9.09;9;-0.47
20.1;46.6;-1.36;1.4;7.11;12.3;17.02;20.23;23.46;21.93;15.94;9.14;9.03;-0.53
20.2;46.6;-1.3;1.44;7.08;12.37;17.07;20.35;23.54;21.97;16.04;9.18;9.14;-0.47
20.3;46.6;-1.33;1.5;7.1;12.26;16.97;20.25;23.46;21.97;16.02;9.1;9.11;-0.52
20.4;46.6;-1.3;1.6;7.11;12.26;16.97;20.26;23.47;22.03;16.04;9.09;9.11;-0.5
20.5;46.6;-1.28;1.69;7.12;12.24;16.95;20.26;23.47;22.05;16.04;9.08;9.1;-0.49
20.6;46.6;-1.35;1.74;7.11;12.19;16.97;20.25;23.44;22.06;16;8.99;9.03;-0.56
20.7;46.6;-1.33;1.84;7.13;12.15;16.98;20.26;23.41;22.06;16.02;8.97;9.03;-0.55
20.8;46.6;-1.29;1.94;7.11;12.16;16.91;20.21;23.4;22.09;16.02;8.93;9.07;-0.55
20.9;46.6;-1.25;2;7.07;12.11;16.82;20.16;23.34;22.07;15.98;8.94;9.03;-0.5
21;46.6;-1.22;2.1;7.05;12.11;16.81;20.13;23.29;22.1;15.99;8.96;9.12;-0.44
19.5;46.5;-1.57;1.2;6.99;11.91;16.53;19.74;22.93;21.13;15.19;8.79;8.69;-0.71
19.6;46.5;-1.65;1.17;6.92;11.86;16.51;19.72;22.9;21.14;15.18;8.69;8.62;-0.78
19.7;46.5;-1.62;1.23;6.92;11.91;16.57;19.8;22.97;21.27;15.3;8.71;8.64;-0.72
19.8;46.5;-1.48;1.34;7.03;12.07;16.77;20.04;23.21;21.58;15.57;8.89;8.78;-0.62
19.9;46.5;-1.37;1.43;7.06;12.14;16.87;20.14;23.33;21.72;15.76;9.01;8.91;-0.54
20;46.5;-1.53;1.42;6.99;12.04;16.78;20.02;23.21;21.64;15.66;8.94;8.87;-0.62
20.1;46.5;-1.28;1.55;7.09;12.27;17.02;20.26;23.44;21.95;15.95;9.12;9.06;-0.44
20.2;46.5;-1.23;1.56;7.16;12.33;17.06;20.28;23.48;21.97;16.08;9.18;9.22;-0.41
20.3;46.5;-1.25;1.62;7.1;12.31;17.02;20.25;23.45;21.97;16.06;9.15;9.14;-0.46
20.4;46.5;-1.21;1.75;7.12;12.32;17.02;20.29;23.46;22;16.06;9.15;9.16;-0.4
20.5;46.5;-1.19;1.83;7.16;12.32;17.05;20.34;23.53;22.16;16.15;9.17;9.31;-0.32
20.6;46.5;-1.26;1.85;7.17;12.23;17.03;20.29;23.46;22.11;16.1;9.08;9.2;-0.42
20.7;46.5;-1.3;1.91;7.14;12.15;16.99;20.26;23.37;22.07;16.03;9.01;9.16;-0.48
20.8;46.5;-1.23;2;7.1;12.17;16.9;20.2;23.38;22.11;16.07;9;9.15;-0.47
20.9;46.5;-1.18;2.08;7.1;12.14;16.85;20.17;23.34;22.11;16.05;8.96;9.15;-0.47
21;46.5;-1.15;2.11;7.04;12.11;16.79;20.12;23.28;22.09;16.02;8.94;9.11;-0.48
19.5;46.4;-1.59;1.18;6.93;11.82;16.43;19.64;22.79;21.02;15.1;8.67;8.7;-0.79
19.6;46.4;-1.62;1.16;6.87;11.78;16.36;19.57;22.75;21.01;15.1;8.64;8.69;-0.8
19.7;46.4;-1.59;1.29;6.94;11.99;16.7;19.91;23.05;21.42;15.43;8.83;8.78;-0.67
19.8;46.4;-1.43;1.45;7.04;12.11;16.83;20.07;23.19;21.62;15.62;8.94;8.88;-0.5
19.9;46.4;-1.5;1.43;6.98;12.05;16.78;20.01;23.14;21.6;15.61;8.9;8.84;-0.57
20;46.4;-1.37;1.51;7.05;12.13;16.87;20.12;23.29;21.76;15.79;9.02;8.96;-0.5
20.1;46.4;-1.25;1.62;7.11;12.25;17;20.24;23.41;21.94;15.95;9.13;9.12;-0.35
20.2;46.4;-1.25;1.63;7.07;12.3;17.02;20.23;23.4;21.91;16.02;9.15;9.21;-0.33
20.3;46.4;-1.22;1.72;7.11;12.3;17.02;20.24;23.41;21.97;16.06;9.15;9.24;-0.32
20.4;46.4;-1.17;1.75;7.13;12.3;17.05;20.26;23.43;22.07;16.07;9.16;9.23;-0.37
20.5;46.4;-1.22;1.86;7.11;12.24;16.98;20.21;23.37;22.05;16.05;9.11;9.23;-0.39
20.6;46.4;-1.18;1.96;7.14;12.25;16.99;20.21;23.39;22.09;16.09;9.1;9.26;-0.38
20.7;46.4;-1.18;2.01;7.14;12.23;16.97;20.23;23.42;22.14;16.14;9.1;9.27;-0.41
20.8;46.4;-1.19;2.06;7.08;12.17;16.87;20.16;23.32;22.1;16.09;9.03;9.23;-0.43
20.9;46.4;-1.16;2.13;7.06;12.14;16.81;20.13;23.28;22.1;16.07;9;9.21;-0.43
21;46.4;-1.06;2.26;7.11;12.17;16.84;20.16;23.3;22.15;16.11;9.01;9.24;-0.38
19.5;46.3;-1.53;1.2;6.9;11.86;16.43;19.68;22.79;21.05;15.11;8.7;8.74;-0.67
19.6;46.3;-1.63;1.16;6.73;11.75;16.43;19.57;22.74;21.17;15.03;8.59;8.55;-0.78
19.7;46.3;-1.58;1.24;6.84;11.93;16.65;19.84;22.97;21.37;15.42;8.79;8.77;-0.7
19.8;46.3;-1.42;1.41;6.98;12.07;16.79;20.02;23.12;21.57;15.61;8.93;8.9;-0.53
19.9;46.3;-1.38;1.5;7.02;12.09;16.83;20.05;23.16;21.66;15.7;8.97;8.96;-0.48
20;46.3;-1.22;1.63;7.11;12.25;16.99;20.22;23.37;21.88;15.96;9.16;9.14;-0.32
20.1;46.3;-1.16;1.63;7.12;12.38;17.15;20.33;23.48;22.03;16.19;9.28;9.24;-0.22
20.2;46.3;-1.13;1.7;7.13;12.38;17.12;20.29;23.48;22.13;16.19;9.28;9.36;-0.22
20.3;46.3;-1.1;1.8;7.19;12.4;17.14;20.34;23.49;22.14;16.18;9.29;9.41;-0.2
20.4;46.3;-1.07;1.9;7.22;12.38;17.13;20.34;23.48;22.18;16.21;9.28;9.44;-0.2
20.5;46.3;-1.1;1.95;7.18;12.32;17.07;20.28;23.44;22.16;16.18;9.22;9.38;-0.28
20.6;46.3;-1.14;2.02;7.14;12.26;17;20.21;23.38;22.12;16.15;9.15;9.36;-0.35
20.7;46.3;-1.16;2.16;7.17;12.26;16.99;20.23;23.49;22.24;16.23;9.19;9.42;-0.34
20.8;46.3;-1.21;2.08;6.98;12.07;16.72;20.03;23.2;22.02;16.03;9;9.2;-0.43
20.9;46.3;-1.12;2.16;6.94;12.07;16.7;20.02;23.11;22;16.01;8.97;9.2;-0.38
21;46.3;-1.06;2.29;7.02;12.12;16.73;20.07;23.17;22.09;16.07;8.99;9.26;-0.35
19.5;46.2;-1.45;1.23;6.93;11.9;16.47;19.67;22.8;21.11;15.15;8.74;8.83;-0.6
19.6;46.2;-1.52;1.27;6.85;11.92;16.64;19.85;22.95;21.33;15.4;8.83;8.76;-0.65
19.7;46.2;-1.46;1.3;6.9;11.98;16.7;19.91;23;21.42;15.51;8.86;8.85;-0.64
19.8;46.2;-1.57;1.3;6.76;11.9;16.65;19.84;22.91;21.41;15.47;8.79;8.83;-0.64
19.9;46.2;-1.22;1.58;7.06;12.19;16.92;20.17;23.23;21.77;15.86;9.11;9.11;-0.33
20;46.2;-1.29;1.58;7.02;12.16;16.9;20.1;23.21;21.77;15.85;9.07;9.1;-0.39
20.1;46.2;-1.09;1.68;7.14;12.45;17.16;20.33;23.43;22.04;16.21;9.32;9.36;-0.19
20.2;46.2;-1.07;1.77;7.17;12.37;17.11;20.3;23.44;22.09;16.16;9.3;9.42;-0.16
20.3;46.2;-1.04;1.83;7.17;12.36;17.11;20.29;23.43;22.12;16.19;9.29;9.46;-0.19
20.4;46.2;-0.98;1.93;7.19;12.36;17.11;20.3;23.44;22.16;16.22;9.3;9.5;-0.17
20.5;46.2;-0.99;2.04;7.19;12.32;17.08;20.27;23.43;22.16;16.22;9.28;9.5;-0.22
20.6;46.2;-1.03;2.13;7.22;12.32;17.07;20.26;23.42;22.18;16.25;9.25;9.53;-0.24
20.7;46.2;-1.02;2.23;7.22;12.31;17.05;20.25;23.41;22.21;16.27;9.24;9.52;-0.23
20.8;46.2;-1.02;2.27;7.11;12.19;16.89;20.19;23.25;22.17;16.23;9.2;9.47;-0.23
20.9;46.2;-0.98;2.33;7.06;12.15;16.77;20.13;23.12;22.09;16.17;9.17;9.44;-0.18
21;46.2;-0.92;2.44;7.03;12.16;16.76;20.12;23.11;22.09;16.13;9.1;9.43;-0.29
19.5;46.1;-1.53;1.03;6.9;11.98;16.67;19.8;22.86;21.24;15.41;9.05;8.85;-0.7
19.6;46.1;-1.45;1.21;6.95;12.11;16.75;19.91;22.99;21.45;15.55;9.14;8.98;-0.61
19.7;46.1;-1.17;1.42;7.17;12.4;16.97;20.13;23.21;21.77;15.76;9.24;9.09;-0.3
19.8;46.1;-1.02;1.64;7.23;12.51;17.1;20.3;23.37;21.95;15.95;9.31;9.22;-0.16
19.9;46.1;-1;1.75;7.35;12.62;17.3;20.53;23.49;22.22;16.28;9.44;9.35;-0.07
20;46.1;-0.93;1.91;7.39;12.7;17.39;20.61;23.57;22.33;16.43;9.46;9.46;0
20.1;46.1;-0.82;2.07;7.45;12.76;17.52;20.69;23.67;22.43;16.61;9.54;9.59;0.1
20.2;46.1;-0.78;2.11;7.44;12.74;17.57;20.74;23.68;22.52;16.73;9.63;9.65;0.04
20.3;46.1;-0.97;2.2;7.31;12.35;17.23;20.4;23.5;22.3;16.39;9.37;9.79;-0.06
20.4;46.1;-1.01;2.17;7.27;12.31;17.18;20.36;23.46;22.26;16.36;9.34;9.74;-0.12
20.5;46.1;-1.02;2.2;7.27;12.3;17.16;20.34;23.45;22.27;16.35;9.32;9.71;-0.16
20.6;46.1;-1.01;2.2;7.15;12.23;17.01;20.24;23.34;22.23;16.27;9.23;9.65;-0.31
20.7;46.1;-0.93;2.3;7.24;12.29;17.08;20.32;23.42;22.32;16.38;9.32;9.7;-0.14
20.8;46.1;-0.89;2.34;7.2;12.25;17;20.27;23.36;22.31;16.38;9.32;9.67;-0.13
20.9;46.1;-0.86;2.4;7.11;12.19;16.84;20.19;23.2;22.19;16.3;9.3;9.61;-0.08
21;46.1;-0.77;2.48;7.15;12.21;16.89;20.22;23.27;22.28;16.37;9.34;9.68;-0.02
19.5;46;-1.22;1.35;7.2;12.35;16.96;20.14;23.19;21.67;15.84;9.35;9.12;-0.28
19.6;46;-1.25;1.3;7.11;12.37;16.9;20.09;23.07;21.74;15.72;9.25;9.08;-0.27
19.7;46;-1.06;1.61;7.23;12.52;17.1;20.32;23.25;21.98;15.98;9.37;9.24;-0.09
19.8;46;-1.07;1.6;7.2;12.54;17.1;20.28;23.24;22.02;15.97;9.37;9.3;-0.08
19.9;46;-1.07;1.62;7.18;12.55;17.11;20.31;23.27;22.08;16.01;9.36;9.33;-0.11
20;46;-0.83;1.98;7.39;12.72;17.43;20.65;23.51;22.33;16.51;9.55;9.56;0.16
20.1;46;-0.8;2.07;7.44;12.74;17.44;20.66;23.59;22.4;16.57;9.59;9.67;0.21
20.2;46;-0.75;2.19;7.61;12.8;17.53;20.71;23.69;22.63;16.65;9.77;9.9;0.34
20.3;46;-0.72;2.24;7.63;12.83;17.6;20.76;23.75;22.73;16.75;9.76;9.9;0.3
20.4;46;-0.89;2.24;7.35;12.37;17.25;20.42;23.5;22.31;16.45;9.44;9.92;0.02
20.5;46;-0.92;2.26;7.35;12.36;17.24;20.41;23.5;22.33;16.46;9.45;9.9;0
20.6;46;-0.87;2.27;7.27;12.3;17.14;20.36;23.43;22.33;16.45;9.42;9.85;-0.04
20.7;46;-0.83;2.33;7.26;12.3;17.1;20.35;23.42;22.35;16.48;9.44;9.85;0.03
20.8;46;-0.78;2.39;7.23;12.28;17.05;20.33;23.38;22.35;16.48;9.45;9.83;0.06
20.9;46;-0.71;2.47;7.2;12.26;16.98;20.29;23.34;22.36;16.48;9.44;9.82;0.03
21;46;-0.66;2.53;7.18;12.25;16.94;20.27;23.31;22.35;16.48;9.44;9.83;0.08
