"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
20.7;46.4;64.2;58.61;19.41;50.01;149.38;94.85;45.7;66.14;91.3;41.1;59.64;97.64
20.8;46.4;63.91;58.36;19.2;48.69;153.18;102.55;44.85;66.84;87.17;41.26;61.23;97.03
20.9;46.4;64.16;59.04;20.67;50.58;151.93;106.78;44.23;69.8;82.22;41.01;61.67;97.7
21;46.4;63.53;59.93;21.36;52.77;150.16;104.42;42.39;75.04;78.26;41.24;61.11;96.96
19.5;46.3;71.37;71.08;19.42;60.9;206.47;117.75;92.62;55.39;142.99;45.42;64.65;82.76
19.6;46.3;73.7;70.21;20.39;59.23;208.59;120.05;98.08;58.97;139.6;45.97;65.1;87.2
19.7;46.3;73.9;70.79;20.52;57.17;207.32;106.27;101.15;61.59;129.37;47.25;63.99;85.08
19.8;46.3;72.34;71.05;20.88;55.99;196.56;102.27;101.92;62.84;110.84;48.17;63.15;82.17
19.9;46.3;67.93;69.51;21.77;55.83;179.76;109.93;80.45;54.26;106.18;47.92;61.77;87.12
20;46.3;67.53;70.23;24.5;54.51;167.91;133.95;69.36;47.78;97.74;49.69;58.4;91.98
20.1;46.3;64.78;70.1;22.46;52.03;155.97;118.39;62.93;52.32;96.38;49.72;59.34;87.96
20.2;46.3;63.85;66.87;20.6;52.85;148.52;107.63;61.64;58.29;98;47.05;55.77;90.4
20.3;46.3;62.78;64.01;19.82;51.44;148.01;101.58;58.4;61.5;96.54;45.32;55.87;92.67
20.4;46.3;60.86;61.12;19.38;49.06;146.68;95.15;46.99;67.03;92.29;42;54.4;92.17
20.5;46.3;62.07;60.03;19.3;47.84;147.77;93.27;45.85;62.19;90.39;41.02;55.02;94.37
20.6;46.3;63.67;60.8;19.08;46.39;150.53;104.93;50.11;64.43;86.87;42.77;55.44;95.8
20.7;46.3;64.65;59.2;19.18;44.52;150.97;104.93;50.3;64.21;81.19;43.06;54.84;94.34
20.8;46.3;64;60.59;20.11;45.5;153.03;121.68;50.34;66.28;79.26;42.85;55.39;96.21
20.9;46.3;64.54;60.93;20.54;47.09;153.46;122.04;46.27;66.32;75.31;42.27;56.28;96.64
21;46.3;61.41;59.72;18.75;50.4;156.22;128.98;37.78;63.85;68.96;42.08;57.89;93.38
19.5;46.2;72.69;68.53;19.57;61.09;200.5;115.66;87.97;55.75;140.77;46.24;66.45;84.01
19.6;46.2;72.59;68.57;19.69;58.85;204.09;108.97;89.95;56.9;132.83;46.81;66.3;84.97
19.7;46.2;71.61;66.84;20.06;58.39;206.32;105.57;86.01;56.3;123.54;47.7;65.72;82.42
19.8;46.2;74.37;63.61;21.22;59.75;210.42;105.53;80.03;54.6;129.96;46.16;67.68;79.9
19.9;46.2;66.86;68.03;19.87;54.01;168.65;107.01;71.52;53.76;94.47;45.45;60.59;82.58
20;46.2;65.04;67.93;19.53;53.69;155.94;112.76;60.66;53.97;88.11;44.32;56.78;83.28
20.1;46.2;63.44;64.98;20.36;50.63;149.21;113.8;59.45;47.87;86.87;47.74;56.92;83.53
20.2;46.2;59.87;65.34;18.46;50.47;147.81;111.88;58.05;58.27;89.17;45.02;52.3;88.12
20.3;46.2;60.71;60.7;17.57;50.13;143.35;105.86;58.05;60.11;89.58;45.6;49.62;88.38
20.4;46.2;62.57;62.09;18.77;47.36;141.59;96.23;46.73;72.11;85.32;41.09;49.26;88.29
20.5;46.2;61.11;59.28;18.83;44.92;142.46;102.27;48.61;65.4;77.31;41.96;49.73;88.36
20.6;46.2;63.4;57.97;18.81;44.45;144.02;103.35;44.52;67.88;77.13;40.59;50.98;90.73
20.7;46.2;64.5;57.61;20.29;43.01;146.1;110.12;50.51;68.52;73.25;43.22;49.55;90.45
20.8;46.2;65.36;60.28;21.64;49.26;52.87;9.62;36.51;75.46;75.95;40.34;52.26;93.22
20.9;46.2;64.13;62.24;22.29;48.72;51.69;8.99;38.4;72.61;70.19;40.91;50.65;94.27
21;46.2;63.28;64.02;22.89;48.81;48.63;11.41;39.56;74.44;66.61;41.34;50.72;94.81
19.5;46.1;70.09;67.55;19.47;65.36;184.19;116.01;90.6;58.83;117.44;51.86;66.93;82.98
19.6;46.1;71.38;67.85;18.55;60.91;185.4;104.07;94.77;61.64;109.92;51.86;67.4;81.95
19.7;46.1;67.56;60.8;16.41;56.47;176.13;100.05;103.41;63.53;106.58;53.5;66.31;79.46
19.8;46.1;62.54;65.05;18.76;50.17;184.58;94.75;81.42;56.24;93.9;52.29;66.9;79.97
19.9;46.1;60.56;69.86;22.7;51.12;165.85;108.83;64.37;55.83;89.41;48.17;60.87;79.42
20;46.1;58.79;70.22;22.9;48.32;152.62;111.8;55.89;57.01;85.11;46.3;57.51;81.11
20.1;46.1;58.02;66.04;21.57;48.16;148.57;111.78;54.94;56.53;81.9;45.94;54.5;80.46
20.2;46.1;58.03;63.89;22.31;46.83;140.88;109.02;56.71;58.86;83.71;44.64;50.84;80.46
20.3;46.1;68.69;62.5;21.74;47.37;54.62;26.09;48.29;83.16;87.39;40.74;49.28;88.08
20.4;46.1;68.52;61.41;21.42;47.4;53.74;19.13;45.76;83.17;85.61;40.37;49.13;88.54
20.5;46.1;68.4;60.06;21.15;47.43;51.78;12.46;42.67;85.39;83.15;39.82;48.99;88.71
20.6;46.1;70.22;58.97;21.32;46.86;143.3;95.08;33.99;93.94;75.4;37.56;46.9;89.25
20.7;46.1;67.97;61.05;22.03;48.69;47.77;10.78;37.33;85.01;76.5;39.55;49.69;88.54
20.8;46.1;66.79;61.84;22.81;49.15;48.51;13.68;37.03;79.85;74.56;40;50.31;88.17
20.9;46.1;64.98;63.62;23.61;48.62;47.49;12.74;38.46;76.78;68.06;40.58;48.01;89.55
21;46.1;64.53;65.08;24.17;48.93;45.33;13.22;38.74;75.66;64.11;41.08;48.26;89.46
19.5;46;70.88;65.07;19.14;65.13;194.48;111.38;75.62;58.21;105.17;52.55;69.04;77.61
19.6;46;69;67.7;20.18;61.76;182.69;112.8;89.12;60.09;103.11;52.63;67.06;77.97
19.7;46;66.32;67.23;20.54;56.79;179.99;113.14;94.87;62.13;95.71;51.82;65.47;76.4
19.8;46;62.56;69.36;22.27;53.06;172.46;118.73;95.66;64.51;90.36;50.7;63.33;77.42
19.9;46;59.14;71.09;22.99;49.14;167.5;122.39;85.34;67.13;86.1;49.74;60.76;77.77
20;46;55.38;70.87;26.29;44.9;152.42;120.15;59.79;62.96;82.49;46.87;56.76;78.6
20.1;46;54.96;72.67;26.55;43.67;145.47;117.36;55.2;60.73;77.51;46.33;53.68;77.78
20.2;46;56.75;64.85;25.87;44.36;141.11;111.97;54.23;57.95;74.97;45.8;50.99;77.19
20.3;46;58.69;60.36;25;43.94;131.87;104.18;61.26;72.79;81.04;43.87;47.71;76.98
20.4;46;69.23;63.14;22.04;47.01;154.02;128.02;49.36;87.07;83.79;40.94;46.14;84.11
20.5;46;69.22;62.09;22.15;47.39;152.8;124.45;47.36;86.55;81.07;40.79;46.19;84.38
20.6;46;68.6;62.1;22.69;47.74;148.43;118.31;42.74;88.05;76.07;40;46.24;84.27
20.7;46;67.43;63.46;23.54;48.48;47.94;21.95;42.08;83.3;73.36;40.46;47.1;84.6
20.8;46;66.67;64.64;24.19;48.87;45.5;20.35;40.43;81.13;69.41;40.45;47.07;84.81
20.9;46;65.99;65.77;24.87;49.26;42.8;18.91;38.8;79.66;65.8;40.08;47.56;84.91
21;46;64.72;67.11;25.45;48.35;40.25;17.2;38.85;78.33;61.09;40.72;46.53;85.56
